,PLAYER,TEAM_x,Lg_Pos,Marg_Val,PlayerBid,AUC180,Bargain
0,Steven Stamkos,TBL,C,48,48.72427983539095,38.91891891891891,9.80536091647204
1,Evgeni Malkin,PIT,C,38,38.573388203017835,28.044515103338632,10.528873099679203
2,Nathan MacKinnon,COL,C,37,37.55829903978052,57.13831478537361,-19.580015745593087
3,Connor McDavid,EDM,C,32,32.48285322359396,59.61844197138315,-27.135588747789186
4,Sidney Crosby,PIT,C,31,31.46776406035665,54.467408585055644,-22.999644524698994
5,Patrice Bergeron,BOS,C,29,29.43758573388203,30.143084260731325,-0.7054985268492935
6,Tyler Seguin,DAL,C,28,28.42249657064472,35.96184419713832,-7.539347626493598
7,Auston Matthews,TOR,C,27,27.407407407407405,51.31955484896662,-23.912147441559213
8,John Tavares,TOR,C,27,27.407407407407405,37.392686804451515,-9.98527939704411
9,Jack Eichel,BUF,C,26,26.392318244170095,24.324324324324326,2.067993919845769
10,Aleksander Barkov,FLA,C,21,21.31687242798354,37.58346581875993,-16.266593390776393
11,Leon Draisaitl,EDM,C,19,19.286694101508917,51.033386327503976,-31.74669222599506
12,Brayden Point,TBL,C,19,19.286694101508917,17.742448330683626,1.5442457708252917
13,Sean Monahan,CGY,C,19,19.286694101508917,5.34181240063593,13.944881700872987
14,Claude Giroux,PHI,C,17,17.256515775034295,27.090620031796504,-9.83410425676221
15,Jake Guentzel,PIT,C,16,16.24142661179698,22.702702702702705,-6.461276090905724
16,Elias Pettersson,VAN,C,14,14.21124828532236,19.936406995230524,-5.725158709908163
17,Filip Forsberg,NSH,C,13,13.196159122085048,6.200317965023848,6.9958411570612
18,Jonathan Toews,CHI,C,11,11.165980795610425,2.4801271860095393,8.685853609600885
19,Sean Couturier,PHI,C,11,11.165980795610425,3.338632750397456,7.827348045212968
20,Teuvo Teravainen,CAR,C,11,11.165980795610425,3.815580286168521,7.350400509441904
21,Vincent Trocheck,FLA,C,9,9.135802469135802,1.6216216216216217,7.51418084751418
22,Jonathan Marchessault,VGK,C,7,7.10562414266118,6.963434022257552,0.14219012040362866
23,Mika Zibanejad,NYR,C,7,7.10562414266118,8.298887122416533,-1.1932629797553522
24,Joe Pavelski,DAL,C,7,7.10562414266118,6.772655007949126,0.33296913471205425
25,Evgeny Kuznetsov,WSH,C,6,6.090534979423869,9.348171701112879,-3.2576367216890096
26,Logan Couture,SJS,C,5,5.075445816186557,6.772655007949126,-1.6972091917625693
27,Mark Scheifele,WPG,C,5,5.075445816186557,19.841017488076314,-14.765571671889758
28,Mathew Barzal,NYI,C,4,4.060356652949245,2.4801271860095393,1.5802294669397061
29,Ryan O'Reilly,STL,C,4,4.060356652949245,0.0,4.060356652949245
30,Ryan Johansen,NSH,C,4,4.060356652949245,0.9538950715421303,3.1064615814071153
31,Dylan Larkin,DET,C,3,3.0452674897119345,4.1971383147853745,-1.15187082507344
32,Nicklas Backstrom,WSH,C,3,3.0452674897119345,9.920508744038157,-6.875241254326223
33,Alex Galchenyuk,PIT,C,1,1.0150891632373114,1.1446740858505564,-0.12958492261324506
34,Elias Lindholm,CGY,C,1,1.0150891632373114,4.483306836248013,-3.4682176730107015
