,PLAYER,TEAM,AUC,PR,P_GS,P_W,P_GAA,P_SVPCT,WFSI,GAAFSI,SVPFSI,Marg_Val,PlayerBid,AUC180,Lg_Pos
0,Sergei Bobrovsky,FLA,39.0,123.5,64,35,2.61,0.919,44.6,35.7,43.2,49,43.104786545924966,37.93774319066148,G
1,Devan Dubnyk,MIN,4.9,122.5,64,32,2.53,0.9159999999999999,40.8,38.6,43.1,48,42.22509702457956,4.766536964980546,G
2,Frederik Andersen,TOR,23.8,121.4,66,35,2.75,0.917,44.6,32.3,44.5,47,41.34540750323415,23.151750972762645,G
3,Marc-Andre Fleury,VGK,38.0,119.2,60,32,2.48,0.915,40.8,38.0,40.4,45,39.58602846054334,36.964980544747085,G
4,Martin Jones,SJS,7.2,118.1,62,31,2.54,0.912,39.5,37.0,41.6,44,38.706338939197934,7.003891050583658,G
5,Andrei Vasilevskiy,TBL,51.4,118.0,62,33,2.62,0.9179999999999999,42.0,34.2,41.8,44,38.706338939197934,50.0,G
6,Carey Price,MTL,18.3,110.0,60,27,2.56,0.9179999999999999,34.4,35.1,40.5,36,31.668822768434673,17.801556420233464,G
7,Connor Hellebuyck,WPG,5.9,108.9,63,29,2.79,0.914,36.9,29.7,42.3,35,30.78913324708926,5.739299610894942,G
8,Jonathan Quick,LAK,2.0,108.1,60,27,2.61,0.914,34.4,33.4,40.3,34,29.909443725743856,1.9455252918287937,G
9,Braden Holtby,WSH,9.3,107.9,60,28,2.66,0.914,35.7,31.9,40.3,34,29.909443725743856,9.046692607003893,G
10,John Gibson,ANA,13.2,106.4,62,26,2.71,0.917,33.1,31.5,41.8,32,28.150064683053042,12.840466926070038,G
11,Matt Murray,PIT,6.5,104.2,57,29,2.71,0.9159999999999999,36.9,28.9,38.4,30,26.39068564036222,6.3229571984435795,G
12,Jacob Markstrom,VAN,1.7,103.2,60,28,2.83,0.9109999999999999,35.7,27.3,40.2,29,25.510996119016816,1.6536964980544748,G
13,Pekka Rinne,NSH,22.3,102.4,52,28,2.52,0.9179999999999999,35.7,31.6,35.1,28,24.631306597671408,21.69260700389105,G
14,Tuukka Rask,BOS,35.9,102.2,50,29,2.48,0.914,36.9,31.7,33.6,28,24.631306597671408,34.92217898832685,G
15,Jordan Binnington,STL,12.9,101.7,52,26,2.46,0.915,33.1,33.6,35.0,28,24.631306597671408,12.54863813229572,G
16,Carter Hart,PHI,8.6,100.2,52,28,2.59,0.9159999999999999,35.7,29.5,35.0,26,22.871927554980594,8.365758754863812,G
17,Ben Bishop,DAL,48.0,98.6,50,26,2.48,0.919,33.1,31.7,33.8,24,21.11254851228978,46.69260700389105,G
18,Philipp Grubauer,COL,8.3,97.8,52,26,2.59,0.92,33.1,29.5,35.2,24,21.11254851228978,8.073929961089494,G
19,Antti Raanta,ARI,4.8,94.8,50,24,2.52,0.9209999999999999,30.6,30.4,33.8,21,18.47347994825356,4.669260700389105,G
20,David Rittich,CGY,1.3,94.7,50,26,2.6,0.9109999999999999,33.1,28.1,33.5,21,18.47347994825356,1.264591439688716,G
21,Petr Mrazek,CAR,1.7,93.8,48,26,2.54,0.9109999999999999,33.1,28.6,32.1,20,17.59379042690815,1.6536964980544748,G
22,Semyon Varlamov,NYI,2.8,89.4,55,21,2.8,0.914,26.8,25.7,36.9,15,13.19534282018111,2.7237354085603114,G
23,Carter Hutton,BUF,0.0,86.2,52,24,2.98,0.91,30.6,20.8,34.8,12,10.55627425614489,0.0,G
