,PLAYER,TEAM_x,Lg_Pos,Marg_Val,PlayerBid,AUC180,Bargain
0,Nikita Kucherov,TBL,W,63,63.95061728395061,59.42766295707472,4.52295432687589
1,David Pastrnak,BOS,W,48,48.72427983539095,49.316375198728146,-0.5920953633371937
3,Brad Marchand,BOS,W,47,47.70919067215363,52.27344992050874,-4.564259248355107
6,Mikko Rantanen,COL,W,36,36.54320987654321,39.39586645468998,-2.852656578146771
7,Patrick Kane,CHI,W,32,32.48285322359396,53.036565977742455,-20.553712754148492
11,Johnny Gaudreau,CGY,W,30,30.45267489711934,39.968203497615264,-9.515528600495923
18,Alex Ovechkin,WSH,W,26,26.392318244170095,60.0,-33.6076817558299
19,Taylor Hall,NJD,W,26,26.392318244170095,33.86327503974562,-7.470956795575528
21,Sebastian Aho,CAR,W,23,23.34705075445816,25.65977742448331,-2.3127266700251496
22,Matthew Tkachuk,CGY,W,22,22.33196159122085,10.015898251192368,12.316063340028482
23,Phil Kessel,ARI,W,22,22.33196159122085,9.538950715421304,12.793010875799546
26,Mitchell Marner,TOR,W,19,19.286694101508917,43.879173290938,-24.59247918942908
29,Jonathan Huberdeau,FLA,W,19,19.286694101508917,8.394276629570749,10.892417471938169
31,Brock Boeser,VAN,W,18,18.271604938271604,5.246422893481717,13.025182044789887
33,Alexander Radulov,DAL,W,17,17.256515775034295,9.157392686804451,8.099123088229844
35,Blake Wheeler,WPG,W,17,17.256515775034295,31.764705882352942,-14.508190107318647
36,Mike Hoffman,FLA,W,16,16.24142661179698,3.9109697933227343,12.330456818474246
38,Mark Stone,VGK,W,15,15.22633744855967,14.78537360890302,0.44096383965665
42,Timo Meier,SJS,W,14,14.21124828532236,6.677265500794912,7.533982784527448
44,Jakub Voracek,PHI,W,14,14.21124828532236,5.151033386327504,9.060214898994857
45,Alex DeBrincat,CHI,W,13,13.196159122085048,22.511923688394276,-9.315764566309229
46,Jamie Benn,DAL,W,13,13.196159122085048,9.729729729729728,3.4664293923553195
47,Patrik Laine,WPG,W,13,13.196159122085048,24.705882352941174,-11.509723230856126
48,Vladimir Tarasenko,STL,W,13,13.196159122085048,26.232114467408586,-13.035955345323538
59,Gabriel Landeskog,COL,W,11,11.165980795610425,20.031796502384736,-8.865815706774312
64,Kyle Palmieri,NJD,W,7,7.10562414266118,2.0985691573926872,5.007054985268493
69,Kyle Connor,WPG,W,6,6.090534979423869,3.14785373608903,2.942681243334839
71,Nino Niederreiter,CAR,W,5,5.075445816186557,1.0492845786963436,4.026161237490213
75,Artemi Panarin,NYR,W,5,5.075445816186557,41.20826709062003,-36.132821274433475
85,Jeff Skinner,BUF,W,3,3.0452674897119345,3.0524642289348174,-0.007196739222882886
86,Max Pacioretty,VGK,W,3,3.0452674897119345,6.677265500794912,-3.631998011082978
89,Jake DeBrusk,BOS,W,1,1.0150891632373114,0.9538950715421303,0.061194091695181085
91,Andrei Svechnikov,CAR,W,1,1.0150891632373114,1.7170111287758347,-0.7019219655385234
